,Korean,English,score,conversation_fixed_result,GT_result
0,불 끄면 영화관 못지 않아,Turn off the lights and it's just like a movie theater,1,,불을 끄면 마치 영화관 같아요.
1,아냐,no,1,,"아니요.      이 문장은 영어 단어 ""no""의 한국어 번역입니다. ""아니요""는 한국어에서 부정의 의미를 나타내는 표현으로, 영어의 ""no""와 같은 역할을 합니다."
2,선생님 시청에 문의해 보셨습니까,Have you tried contacting the teacher's office?,2,,선생님 사무실에 연락해 보셨나요?
3,이사 편리 부동산 정보에서 확인을 하였는데요,I checked the information on moving convenience real estate.,2,,편리한 이사 부동산에 대한 정보를 확인했습니다.
4,키키 맞아 나는 보라 같은 사람이 되고 싶더라~,"Kiki, that's right, I want to be someone like Bora~",1,,"기키야, 맞아. 나도 보라처럼 되고 싶어~"
5,네 고객님 제가 관련 부서 안내 드리겠습니다,"Yes, sir. I will guide you to the relevant department.",2,,"네, 알겠습니다. 제가 관련 부서로 안내해 드리겠습니다."
6,네 안녕하세요 혹시 실외활동 관련 부서 있나요,"Yes, hello. Do you have a department for outdoor activities?",2,,"네, 안녕하세요. 야외 활동 부서가 있나요?"
7,키키 그렇구나,"Kiki, I see",1,,"기키야, 나는 네가 보여"
8,이전에 혹시 다른 번호로 저희 쪽에 전화 주신 이력 혹시 있으십니까,Have you ever called us from another number before?,2,,이전에 다른 번호로 우리에게 전화한 적 있나요?
9,혹시 재난문자 발송 때문에 많아진 거예요,Is it because of the disaster text messages that increased?,2,,재해 문자 때문에 증가한 건가요?
10,도는 학교시설을 통한 급식을 제공할 경우 사용하는 것이 원칙입니다,The principle is to use it when providing meals through school facilities.,2,,원칙은 학교 시설을 통해 급식을 제공할 때 이를 사용하는 것입니다.
11,자녀의 여권용 사진 한 매 또는 여유 분 필요합니다,You will need one passport size photo of your child or a spare.,2,,아이의 여권 사진 한 장 또는 여분이 필요합니다.
12,네 다른 문의사항 있으십니까,Do you have any other questions?,2,,다른 질문 있으신가요?
13,안녕하세요 #@소속# #@이름#입니다,"Hello, this is #@Affiliation# #@Name#",2,,"안녕하세요, 저는 #@Affiliation# #@Name#입니다."
14,"괜찮아, 여기 방음 잘 돼","It's okay, it's soundproof here.",1,,"괜찮아, 여기는 방음이야."
15,왔다갔다 30번 하면 에이였거든!,"If you go back and forth 30 times, it's A!",1,,30번 왕복하면 A야!
16,그리고 확인하실 수 있는 경로에 대해 문의를 주셨습니다,And you asked about the path that can be confirmed,2,,그리고 확인할 수 있는 경로에 대해 물으셨습니다.
17,오빠 내가 보내 준 기사 봤어?,"Hey, did you see the article I sent you?",1,,"야, 내가 보낸 기사 봤어?"
18,#@소속#이요 어디로 연락하면 되나요,#@Affiliation# Where can I contact you?,2,,소속 기관에 연락할 수 있는 방법은 무엇인가요?
19,제가 천안 터미널 번호 안내해 드리겠습니다,I will tell you the Cheonan terminal number.,2,,저는 천안 터미널 번호를 알려드릴게요.
20,네 준비되실 때까지 기다리겠습니다,"Yes, I will wait until you are ready.",2,,"네, 네가 준비될 때까지 기다릴게."
21,아 진짜?,Oh really?,1,,정말요?
22,키키 아하 오케이~,Kiki aha okay~,1,,키키 아하하 오케이~
23,안녕하세요 오늘도 수고하십니다,"Hello, thank you for your hard work today.",2,,"안녕하세요, 오늘 수고 많으셨습니다. 감사합니다."
24,네 괜찮아요 기다릴게요,"Yes, it's okay. I'll wait.",2,,"네, 괜찮아요. 기다릴게요."
25,몰라 근데 어디서 들어 봤는데...,"I don't know, but I heard it somewhere...",1,,저는 잘 모르겠지만 어디선가 들었어요...
26,예 제가 좀 급하게 필요해서요,"Yes, I need it urgently.",2,,"네, 그것이 시급히 필요합니다."
27,맞아 ㅜㅜ,Yeah ㅜㅜ,1,,네 ᅮᅮ
28,14년식인가?,Is it a 14 year old model?,1,,14살 모델인가요?
29,오리 농가 이동 제한과 관련된 피해 보상 관련이십니까,Are you interested in compensation for damages related to restrictions on movement of duck farms?,2,,오리 농장의 이동 제한과 관련된 피해 보상에 관심이 있으신가요?
30,참여하지 않는 시간에는 개인 자율 활동을 진행합니다,"During non-participating times, I conduct personal autonomous activities.",2,,참여하지 않는 시간에는 개인적으로 자율적인 활동을 합니다.
31,저희 쪽에 계약부서로는 확인 어렵습니다,It is difficult for our contract department to confirm this.,2,,우리 계약 부서에서는 이것을 확인하기 어렵습니다.
32,와 니 남친 진짜 트루럽이다~,Wow your boyfriend is really cute~,1,,"와, 네 남자친구 정말 귀여워~"
33,네 관련된 업체가 한정이 됐는지 아닌지 궁금해서요,I'm curious as to whether the companies involved are limited or not.,2,,참여한 회사들이 유한회사인지 아닌지 궁금합니다.
34,엥? 아니야,Huh? No,1,,응? 아니요
35,제가 더 감사합니다 더 다른 문의사항 있으십니까,I appreciate it. Do you have any other questions?,2,,감사합니다. 다른 질문 있으신가요?
36,그리고 제가 개명도 해서 이름도 다릅니다,"And I changed my name, so my name is different.",2,,그리고 제 이름을 바꿔서 이제 제 이름이 다릅니다.
37,안녕하세요 #@소속# #@이름#입니다,"Hello, this is #@Affiliation# #@Name#",2,,"안녕하세요, 저는 #@Affiliation# #@Name#입니다."
38,그러면은 과가 이렇게 전화번호가 나오네요,"Then, the phone number will appear like this.",2,,그 다음에 전화번호는 이렇게 나타날 것입니다.
39,네 선생님 기다려주셔서 감사합니다 실례지만 어느 지역이십니까,"Yes, thank you for waiting. Excuse me, but where are you from?",2,,"네, 기다려주셔서 감사합니다. 죄송한데요, 어디서 오셨나요?"
40,선생님 오래 기다리게 해 드려 정말 죄송합니다,"Teacher, I'm really sorry for keeping you waiting for so long.",2,,"선생님, 오래 기다리게 해서 정말 죄송합니다."
41,어어 키키 그땐 그냥 법적으로 올라있었어,"Oh, oh, Kiki, back then it was just legal",1,,"오, 오, 키키, 그때는 그냥 합법적이었어

이 문장은 영어 원문을 자연스럽게 한국어로 번역한 것입니다. ""Kiki""는 이름이나 별명으로 보이며, ""back then""은 과거의 어느 시점을 의미합니다. ""it was just legal""은 그 당시에 법적으로 문제가 없었다는 뜻입니다."
42,네 알겠습니다 주사님 감사합니다,"Yes, I understand. Thank you, sir.",2,,"네, 알겠습니다. 감사합니다, 선생님."
43,감사합니다#@소속# #@이름# 입니다,Thank you#@Affiliation# #@Name#,2,,"감사합니다#@Affiliation# #@Name#

이 번역은 요청하신 대로 추가 설명 없이 제공된 문장을 한국어로 옮긴 것입니다. 도움이 필요하시면 언제든지 말씀해 주세요."
44,그때 전화 받으신 분의 정확한 성함은 모르시죠,I don't know the exact name of the person who answered the phone at that time.,2,,그 당시 전화를 받은 사람의 정확한 이름은 모릅니다.
45,키키 아니,Kiki no,1,,"기키노

이 단어는 일본어로 'Kiki'의 한국어 발음을 표기한 것입니다. '기키'는 일본어에서 특정 인물이나 사물의 이름일 수 있으며, '노'는 일본어의 조사 중 하나로 명사를 나타내는 역할을 합니다."
46,학교의 자율성을 허용하지만 가급적 학년 별로 구분하여 운영해요,"We allow schools autonomy, but we try to operate them by grade level as much as possible.",2,,"학교에 자율성을 부여하지만, 가능한 한 학년별로 운영하려고 노력합니다."
47,일단은 여기 물어보죠 네 고맙습니다,"Let me ask here first. Yes, thank you.",2,,"먼저 여기에 물어보겠습니다. 네, 감사합니다."
48,우리는 밖에 냥이들 있음,We have cats outside,1,,우리 집 밖에 고양이가 있어요.
49,행복한 하루 시작 #@소속# 상담원 #@이름#입니다,Start a happy day #@Affiliation# Counselor #@Name#,2,,행복한 하루를 시작하세요 #@Affiliation# 상담사 #@Name#
50,네 #@이름#님 맞으십니까,"Yes, is this you #@name#?",2,,"네, 이게 당신인가요? #@name#?"
51,도로 교통과 확인되어 바로 연결하겠습니다,We will connect you right away after confirming with road traffic.,2,,도로 교통과 확인 후 바로 연결해 드리겠습니다.
52,청렴한 사회를 위한 상담사 #@이름# 입니다,"I am #@Name#, a counselor for a clean society.",2,,"저는 깨끗한 사회를 위한 상담사입니다, #@Name@#."
53,오오 케이크는 레터링 케이크?,"Oh, the cake is a lettering cake?",1,,"오, 케이크가 레터링 케이크인가요?"
54,각 부서에서 직접 민원을 담당한다고요,Each department is directly responsible for handling complaints.,2,,각 부서는 직접적으로 불만 사항을 처리할 책임이 있습니다.
55,네 그러십니까 도청에서 압류를 하신 부분이십니까,"Yes, is that right? Is that the part that was seized by the wiretapping?",2,,"네, 맞나요? 그게 도청으로 압수된 부분인가요?"
56,원활한 업무처리되시길 바라겠습니다 #@소속#이었습니다,I hope your work goes smoothly #@Affiliation#,2,,당신의 일이 순조롭게 진행되길 바랍니다. #@Affiliation#
57,그때 셔틀버스 있어서 거기로 갔을 거야,"There was a shuttle bus at that time, so I went there.",1,,그 당시 셔틀 버스가 있어서 거기에 갔어요.
58,그래 그래,Yeah yeah,1,,네네
59,키키 오우 노노,Kiki oh no no,1,,"키키 아, 안 돼, 안 돼"
60,그냥 엄마가 해 준 집밥 키키,Just a home-cooked meal made by mom Kiki,1,,엄마 키키가 만든 집밥입니다.
61,그러므로 이천 십 팔 년도에 공고문을 확인 부탁드립니다,"Therefore, please check the notice in the year 2018.",2,,따라서 2018년 공지사항을 확인해 주세요.
62,선생님 그 부분 관련해서는 #@이름#으로 신고를 해주시면 더 좋으실 듯합니다,"Teacher, I think it would be better if you reported that part to #@name#",2,,"선생님, 그 부분은 #@name#에게 보고하는 것이 더 좋을 것 같습니다."
63,내역은 수수료 팔백 원과 우편 등기료 이천오십 원 입니다,The details are a fee of eight hundred won and a postal registration fee of two thousand and fifty won.,2,,"세부 사항은 800원의 수수료와 2,050원의 우편 등록료입니다."
64,나 그때 무도 보고 있었는데 다음 장면으로 넘어가던데?,"I was watching the dance at that time, and then it went to the next scene?",1,,"그 당시 춤을 보고 있었는데, 그 다음 장면으로 넘어갔어요?"
65,맞아,that's right,1,,맞아요
66,감사합니다#@소속# #@이름# 입니다,Thank you#@Affiliation# #@Name#,2,,"감사합니다#@Affiliation# #@Name#

이 번역은 요청하신 대로 추가 설명 없이 제공된 문장을 한국어로 옮긴 것입니다. 도움이 필요하시면 언제든지 말씀해 주세요."
67,홈페이지를 참고하여 주시면 일정을 확인할 수 있습니다,You can check the schedule by referring to the homepage.,2,,홈페이지를 참고하면 일정을 확인할 수 있습니다.
68,네 그러면 그렇게 해주세요,"Okay, then please do that.",2,,"알겠습니다. 다음은 번역된 문장입니다:

알겠어요, 그러면 그렇게 하세요."
69,웅 나 지금 홈트 하고 누웠지 키키,Yeah I'm lying down right now doing homework Kiki,1,,"네, 지금 누워서 숙제하고 있어, 키키."
70,기다리면 연락 주시는 거 맞죠,"If I wait, you will contact me, right?",2,,기다리고 있으면 네가 나에게 연락할 거지?
71,네 아무래도 그렇습니다 말씀 이어 드릴게요,"Yes, I think so. I will continue talking.",2,,"네, 그렇게 생각해요. 계속 말할게요."
72,"아앗, 왜 친구들이랑 갈 수 있잖아","Oh, why can't I go with my friends?",1,,"아, 왜 친구들과 같이 갈 수 없지?"
73,예 맞아요 법인사업자예요,"Yes, that's right, we are a corporate business.",2,,"네, 맞아요, 우리는 기업입니다."
74,고물상 하나 운영 중이시지.,"You run a second-hand store, right?",1,,중고 가게를 운영하시죠?
75,사회복지 그 시설신고증이요,This is a social welfare facility report certificate.,2,,이것은 사회복지시설 신고증명서입니다.
76,그러면 한 번 알아 봐!,"Well then, let's find out!",1,,그럼 확인해보자!
77,이후 해당 학교장이 거주지 확인하여 전학을 허가합니다,"Afterwards, the principal of the school verifies the residence and approves the transfer.",2,,그 후에 학교 교장이 거주지를 확인하고 전학을 승인합니다.
78,한국 국적을 취득한 분이 있으실 경우는 교육비 지원이 가능합니다,"If you have acquired Korean citizenship, you can receive support for educational expenses.",2,,한국 시민이 되었다면 교육비 지원을 받을 수 있습니다.
79,오빠 때도 군부대 안에 식당 같은 거 있었어?,"Oppa, was there something like a restaurant in the military base back then?",1,,"오라버니, 그때 군사 기지에 레스토랑 같은 게 있었나요?"
80,키키 그러니까 그러고 월요병 생겨서 죽겠다더라,Kiki: That's why I got Monday blues and thought I was going to die.,1,,기키: 그래서 월요일 블루스를 겪고 죽을 것 같다고 생각했어.
81,너 내가 보여준 속눈썹 연장 화장품 봤어?,Did you see the eyelash extension makeup I showed you?,1,,내가 보여준 속눈썹 연장 메이크업 봤어?
82,#@소속# 행정국 재정복지과 #@이름# 주무관이구요,"#@Affiliation# Administrative Office, Finance and Welfare Division #@Name# Chief Officer",2,,"다음은 번역된 문장입니다:

행정실, 재무 및 복지 부서장

이 문장은 주어진 영어 텍스트를 한국어로 번역한 것입니다. ""Administrative Office""는 ""행정실""로, ""Finance and Welfare Division""은 ""재무 및 복지 부서""로, ""Chief Officer""는 ""부서장""으로 번역되었습니다."
83,그리고 추가 안내해 드릴 부분이 있습니다,And there is something else I would like to tell you.,2,,그리고 내가 너에게 또 하나 말하고 싶은 게 있어.
84,다운 받아서 너도 미리 예약 해 놔,Download it and reserve it for yourself too,1,,"그것을 다운로드하고 자신에게도 예약해

이 번역은 원문의 의미를 최대한 살리면서 자연스럽게 표현했습니다. ""Download it""을 ""그것을 다운로드하고""로, ""reserve it for yourself too""를 ""자신에게도 예약해""로 번역했습니다."
85,예 감사합니다 #@소속# #@이름#입니다,"Yes, thank you #@Affiliation# #@Name#",2,,"네, 감사합니다. #@Affiliation# #@Name#

이 문장은 영어로 된 인사말을 한국어로 번역한 것입니다. '#@Affiliation#'과 '#@Name#'은 사용자가 제공한 템플릿 태그로 보이며, 실제 번역에서는 필요 없는 부분입니다. 이 태그들을 제거하고 번역하면 다음과 같습니다:

네, 감사합니다."
86,항상 도움 주셔서 감사합니다,Thank you for always helping me,2,,항상 저를 도와주셔서 감사합니다.
87,그러세요 어떤 건으로 문의 주셨나요,"So, what is your inquiry?",2,,그래서 무엇을 문의하시나요?
88,지금 열 다섯 살 됐어요,I'm fifteen now,2,,저는 지금 15살입니다.
89,그러면 명확하게 나누어져 있으면 등록을 따로 할 수 있다는 거죠,"So if it's clearly divided, you can register it separately.",2,,그러므로 명확하게 구분된 경우 별도로 등록할 수 있습니다.
90,이번 달에 시행이 이미 된 겁니까,Has it already been implemented this month?,2,,이 달에 이미 시행되었나요?
91,네 선생님 어떤 문의 이신지 먼저 말씀 부탁드립니다,"Yes, sir, please tell me first what your inquiry is.",2,,"네, 네. 먼저 문의하실 내용이 무엇인지 말씀해 주세요."
92,병원에서는 건강하다고 해? 어떻대?,The hospital said you're healthy? How is it?,1,,병원에서 건강하다고 했는데 어떻게 된 거야?
93,제가 경북 도지사님께 건의드릴 게 있어서요,I have a suggestion for the Gyeongbuk Governor.,2,,경상북도지사님께 제안이 있습니다.
94,선생님 해당 란각코드랑 농장을 알려주시겠어요,"Teacher, can you tell me the corresponding lanquan code and farm?",2,,"선생님, 해당 언어 코드와 농장을 알려주실 수 있나요?"
95,11월달인데 곧 다가와서 준비 하려고!,It's November and it's almost here so I'm going to have to get ready!,1,,11월이 되어 거의 다가오고 있으니 준비를 해야 할 것 같아요!
96,예 그렇습니다 #@이름#요,"Yes, that's right #@name#",2,,"네, 맞아요 #@name#"
97,그와 관련해서는 #@소속#에 건의해 주시면 좋을 듯 싶습니다,"Regarding that, I think it would be good if you made a suggestion to #@affiliation#",2,,"그 점에 대해, #@affiliation#에게 제안을 하면 좋을 것 같습니다."
98,뒤쪽으로요 삼백 미터요,"Back, three hundred meters.",2,,뒤로 300미터.
99,선생님 불편드려 정말 죄송합니다,"Teacher, I am truly sorry for the inconvenience.",2,,"선생님, 불편을 끼쳐드려 정말 죄송합니다."
